"ParentContainer";"ParentContainerDN";"Xylem-TimeZone";"SiteCode";"Country"
"world.fluidtechnology.net/_AccountObjects/SESTO1/Servers";"OU=Servers,OU=SESTO1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"SESTO1";"Sweden"
"world.fluidtechnology.net/_AccountObjects/SGSIN2/Servers";"OU=Servers,OU=SGSIN2,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+8";"SGSIN2";"Singapore"
"world.fluidtechnology.net/_AccountObjects/SKSTA1/Servers";"OU=Servers,OU=SKSTA1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT+1";"SKSTA1";"Slovakia"
"world.fluidtechnology.net/_AccountObjects/TRDLV1/Servers";"OU=Servers,OU=TRDLV1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";;"TRDLV1";"Turkey"
"world.fluidtechnology.net/_AccountObjects/UKAXM1/Servers";"OU=Servers,OU=UKAXM1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT";"UKAXM1";"United Kingdom"
"world.fluidtechnology.net/_AccountObjects/UKBAS2/Servers";"OU=Servers,OU=UKBAS2,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT";"UKBAS2";"United Kingdom"
"world.fluidtechnology.net/_AccountObjects/UKCMG1/Servers";"OU=Servers,OU=UKCMG1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT";"UKCMG1";"United Kingdom"
"world.fluidtechnology.net/_AccountObjects/UKGLC1/Servers";"OU=Servers,OU=UKGLC1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT";"UKGLC1";"United Kingdom"
"world.fluidtechnology.net/_AccountObjects/UKHON1/Servers";"OU=Servers,OU=UKHON1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT";"UKHON1";"United Kingdom"
"world.fluidtechnology.net/_AccountObjects/UKNTG1/Servers";"OU=Servers,OU=UKNTG1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT";"UKNTG1";"United Kingdom"
"world.fluidtechnology.net/_AccountObjects/UKRUG1/Servers";"OU=Servers,OU=UKRUG1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT";"UKRUG1";"United Kingdom"
"world.fluidtechnology.net/_AccountObjects/UKSIG1/Servers";"OU=Servers,OU=UKSIG1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT";"UKSIG1";"United Kingdom"
"world.fluidtechnology.net/_AccountObjects/UKTUW1/Servers";"OU=Servers,OU=UKTUW1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT";"UKTUW1";"United Kingdom"
"world.fluidtechnology.net/_AccountObjects/USAKM1/Servers";"OU=Servers,OU=USAKM1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-6";"USAKM1";"United States"
"world.fluidtechnology.net/_AccountObjects/USAUB1/Servers";"OU=Servers,OU=USAUB1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USAUB1";"United States"
"world.fluidtechnology.net/_AccountObjects/USBOI1/Servers";"OU=Servers,OU=USBOI1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-7";"USBOI1";"United States"
"world.fluidtechnology.net/_AccountObjects/USBPG1/Servers";"OU=Servers,OU=USBPG1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USBPG1";"United States"
"world.fluidtechnology.net/_AccountObjects/USBRD1/Servers";"OU=Servers,OU=USBRD1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-6";"USBRD1";"United States"
"world.fluidtechnology.net/_AccountObjects/USCKT1/Servers";"OU=Servers,OU=USCKT1,OU=_AccountObjects,DC=world,DC=fluidtechnology,DC=net";"GMT-5";"USCKT1";"United States"
